"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"7492",11146894,"JA508659","11/12/2017 04:10:00 AM","048XX W SUPERIOR ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1531,15,28,25,"07",1143911,1904525,2017,"02/10/2018 03:50:01 PM",41.89404353,-87.746912933,"(41.89404353, -87.746912933)"
"7493",11146906,"JA508667","11/11/2017 10:30:00 PM","006XX W CORNELIA AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1925,19,46,6,"07",1171313,1923532,2017,"02/10/2018 03:50:01 PM",41.945641647,-87.645714624,"(41.945641647, -87.645714624)"
"7494",11146908,"JA503685","11/06/2017 11:30:00 AM","005XX E 75TH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","VEHICLE NON-COMMERCIAL","false","false",323,3,6,69,"07",1181310,1855408,2017,"02/10/2018 03:50:01 PM",41.758479341,-87.611075845,"(41.758479341, -87.611075845)"
"7495",11146961,"JA508769","11/11/2017 07:00:00 AM","006XX S FINANCIAL PL","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",123,1,2,32,"07",1175092,1897456,2017,"02/10/2018 03:50:01 PM",41.874003881,-87.632607527,"(41.874003881, -87.632607527)"
"7496",11146991,"JA508747","11/12/2017 08:49:00 AM","001XX N WELLS ST","0930","MOTOR VEHICLE THEFT","THEFT/RECOVERY: AUTOMOBILE","ALLEY","false","false",122,1,42,32,"07",1174701,1901579,2017,"02/10/2018 03:50:01 PM",41.885326396,-87.633919718,"(41.885326396, -87.633919718)"
"7497",11147003,"JA508817","11/11/2017 06:00:00 PM","007XX N SACRAMENTO BLVD","0930","MOTOR VEHICLE THEFT","THEFT/RECOVERY: AUTOMOBILE","OTHER","false","false",1221,12,27,23,"07",1156097,1904592,2017,"02/10/2018 03:50:01 PM",41.893990113,-87.702155577,"(41.893990113, -87.702155577)"
"7498",11147036,"JA508884","11/11/2017 11:40:00 PM","006XX W DIVISION ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1822,18,27,8,"07",1171881,1908252,2017,"02/10/2018 03:50:01 PM",41.903700111,-87.644078325,"(41.903700111, -87.644078325)"
"7499",11147038,"JA508823","11/12/2017 05:30:00 AM","011XX S MOZART ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","ALLEY","false","false",1135,11,28,29,"07",1157532,1894933,2017,"02/10/2018 03:50:01 PM",41.867455802,-87.697148236,"(41.867455802, -87.697148236)"
"7500",11147155,"JA509051","11/11/2017 08:25:00 PM","021XX N MULLIGAN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2512,25,29,19,"07",1133730,1913627,2017,"02/10/2018 03:50:01 PM",41.919205432,-87.784091064,"(41.919205432, -87.784091064)"
"7501",11147167,"JA509076","10/29/2017 04:30:00 PM","028XX W HOWARD ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","OTHER","false","false",2411,24,50,2,"07",1156115,1950257,2017,"02/10/2018 03:50:01 PM",42.019297337,-87.700851652,"(42.019297337, -87.700851652)"
