"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-17",,,,"0.00","0.0","0.0",,"54","24",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-18",,,,"0.00","0.0","0.0",,"68","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-19",,,,"0.00","0.0","0.0",,"52","20",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-20",,,,"0.00","0.0","0.0",,"42","15",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-21",,,,"0.00","0.0","0.0",,"42","17",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-22",,,,"0.01","0.0","0.0",,"36","32",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-23",,,,"0.00","0.0","0.0",,"35","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-24",,,,"0.21","1.0","1.0",,"33","27",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-25",,,,"0.00","0.0","0.0",,"38","21",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-26",,,,"0.00","0.0","0.0",,"58","21",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-27",,,,"0.00","0.0","0.0",,"67","30",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-28",,,,"0.00","0.0","0.0",,"52","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-02-29",,,,"0.02","0.0","0.0",,"38","17",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-01",,,,"0.25","3.0","0.0",,"42","15",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-02",,,,"0.12","1.0","0.0",,"39","25",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-03",,,,"0.37","7.0","6.0",,"25","14",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-04",,,,"0.01","0.1","5.0",,"27","1",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-05",,,,"0.00","0.0","5.0",,"28","8",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-06",,,,"0.00","0.0","4.0",,"36","23",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-07",,,,"0.03","0.0","2.0",,"40","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-08",,,,"0.00","0.0","0.0",,"51","32",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-09",,,,"0.32","0.0","0.0",,"57","30",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-10",,,,"0.15","0.0","0.0",,"38","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-11",,,,"0.00","0.0","0.0",,"53","22",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-12",,,,"0.00","0.0","0.0",,"58","32",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-13",,,,"0.00","0.0","0.0",,"41","30",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-14",,,,"0.03","0.0","0.0",,"37","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-15",,,,"0.00","0.0","0.0",,"46","29",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-16",,,,"0.00","0.0","0.0",,"56","25",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-17",,,,"0.13","0.0","0.0",,"60","39",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-18",,,,"0.55","0.0","0.0",,"45","29",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-19",,,,"0.00","0.0","0.0",,"61","26",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-20",,,,"0.00","0.0","0.0",,"56","39",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-21",,,,"0.11","0.4","0.0",,"39","26",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-22",,,,"0.10","1.8","1.0",,"27","19",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-23",,,,"0.00","0.0","0.0",,"35","16",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-24",,,,"0.00","0.0","0.0",,"50","24",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-25",,,,"0.00","0.0","0.0",,"52","20",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-26",,,,"0.00","0.0","0.0",,"49","27",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-27",,,,"0.00","0.0","0.0",,"60","25",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-28",,,,"0.00","0.0","0.0",,"71","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-29",,,,"0.00","0.0","0.0",,"74","44",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-30",,,,"0.00","0.0","0.0",,"80","53",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-03-31",,,,"0.00","0.0","0.0",,"72","47",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-01",,,,"0.00","0.0","0.0",,"65","36",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-02",,,,"0.00","0.0","0.0",,"61","27",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-03",,,,"0.31","0.0","0.0",,"59","35",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-04",,,,"0.00","0.0","0.0",,"49","29",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-05",,,,"0.00","0.0","0.0",,"57","25",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-06",,,,"0.00","0.0","0.0",,"60","24",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-07",,,,"0.00","0.0","0.0",,"77","34",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-08",,,,"0.05","0.0","0.0",,"87","40",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-09",,,,"0.90","0.0","0.0",,"40","29",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-10",,,,"0.00","0.0","0.0",,"46","26",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-11",,,,"0.37","0.0","0.0",,"44","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-12",,,,"0.68","0.0","0.0",,"44","37",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-13",,,,"0.00","0.0","0.0",,"50","37",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-14",,,,"0.00","0.0","0.0",,"59","35",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-15",,,,"0.00","0.0","0.0",,"65","31",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-16",,,,"0.09","0.0","0.0",,"58","41",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-17",,,,"0.41","0.0","0.0",,"54","46",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-18",,,,"0.93","0.0","0.0",,"69","48",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-19",,,,"0.49","0.0","0.0",,"72","48",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-20",,,,"0.19","0.0","0.0",,"62","56",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-21",,,,"0.67","0.0","0.0",,"77","56",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-22",,,,"0.00","0.0","0.0",,"68","47",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-04-23",,,,"0.00","0.0","0.0",,"56","45",,,,,,
